Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
273070,Taal,16854,Confirmed Eruption,SW flank (near Mt. Tabaro),3,,,1966,,7,,5,,Historical Observations,,1966,,8,,4,,14.002,120.993
263180,Slamet,13401,Confirmed Eruption,,2,,,1966,,7,,2,182,Historical Observations,,,,,,,,-7.242,109.208
257020,Gaua,15220,Confirmed Eruption,Mt. Garat,2,,,1966,,7,,2,182,Historical Observations,,,,,,,,-14.27,167.5
312160,Trident,20234,Confirmed Eruption,SW flank,0,,?,1966,,7,,2,182,Historical Observations,,,,,,,,58.236,-155.1
285070,Akan,18699,Confirmed Eruption,Me-Akan (Nakamachineshiri),1,,,1966,,6,,15,5,Historical Observations,,1966,,6,,15,5,43.384,144.013
261170,Kerinci,15516,Confirmed Eruption,,2,,,1966,,6,,9,,Historical Observations,,1966,,6,>,30,,-1.697,101.264
284170,Pagan,18514,Discredited Eruption,,,,,1966,,5,,23,,,,,,,,,,18.13,145.8
266030,Soputan,13596,Confirmed Eruption,Kawah Soputan,3,,,1966,,5,,21,,Historical Observations,,1967,,11,,16,15,1.112,124.737
283180,Azumayama,17936,Uncertain Eruption,Issaikyo (Oana),1,,,1966,,5,,16,15,,,1966,,8,,16,15,37.735,140.244
264010,Batur,16196,Confirmed Eruption,SW flank (west of 1965 vent),1,,,1966,,4,,28,,Historical Observations,,,,,,,,-8.242,115.375
263280,Kelut,15956,Confirmed Eruption,,4,,,1966,,4,,26,,Historical Observations,,1966,,4,,27,,-7.93,112.308
284202,Ruby,18533,Confirmed Eruption,,0,,,1966,,4,,21,7,Hydrophonic,,1966,,5,,16,15,15.62,145.57
264030,Rinjani,16223,Confirmed Eruption,East side of Barujari (2250 m),1,,,1966,,3,,28,,Historical Observations,,1966,,8,,8,,-8.42,116.47
255020,Bagana,15135,Confirmed Eruption,,3,,,1966,,3,,20,,Historical Observations,,1967,,11,,30,,-6.137,155.196
255060,Kavachi,15159,Confirmed Eruption,,2,,,1966,,3,,19,,Historical Observations,,1966,,3,>,22,,-8.991,157.979
261140,Marapi,15463,Confirmed Eruption,"B and C Craters, Kebun Bungo",1,,,1966,,3,,16,15,Historical Observations,,1966,,6,,16,15,-0.38,100.474
312030,Pavlof,20137,Confirmed Eruption,Upper NE or NNE flank,2,,,1966,,3,,15,,Historical Observations,,,,,,,,55.417,-161.894
264050,Sangeang Api,16250,Confirmed Eruption,,2,,,1966,,2,,28,,Historical Observations,,1966,,11,,16,15,-8.2,119.07
313030,Redoubt,20387,Confirmed Eruption,North end of summit crater (2300 m),3,,,1966,,1,,24,,Historical Observations,,1966,,2,,20,,60.485,-152.742
332010,Kilauea,10100,Confirmed Eruption,East rift zone (915-960 m),0,,,1965,,12,,24,,Historical Observations,,1965,,12,,25,,19.421,-155.287
255060,Kavachi,15158,Confirmed Eruption,,2,,,1965,,12,,11,,Historical Observations,,1965,,12,,13,,-8.991,157.979
284010,Izu-Oshima,18037,Confirmed Eruption,Mihara-yama,1,,,1965,,11,,25,,Historical Observations,,1966,,6,,13,,34.724,139.394
256010,Tinakula,15200,Confirmed Eruption,Upper NW flank,3,,,1965,,11,,23,,Historical Observations,,1966,,6,,11,,-10.386,165.804
284090,Izu-Torishima,18370,Confirmed Eruption,,0,,,1965,,11,,13,,Hydrophonic,,1965,,12,,5,4,30.484,140.303
264270,Sirung,16363,Confirmed Eruption,,1,,,1965,,11,,2,,Historical Observations,,1965,,11,,2,,-8.508,124.13
263090,Tangkuban Parahu,15680,Confirmed Eruption,,1,,,1965,,10,,16,15,Historical Observations,,1965,,10,,16,15,-6.77,107.6
273070,Taal,16853,Confirmed Eruption,SW flank (near Mt. Tabaro),4,,,1965,,9,,28,,Historical Observations,,1965,,9,,30,,14.002,120.993
257020,Gaua,15219,Confirmed Eruption,Mt. Garat,3,,,1965,,9,,27,,Historical Observations,,1965,,9,>,30,,-14.27,167.5
264030,Rinjani,16222,Confirmed Eruption,Gunung Barujari,0,,,1965,,9,,16,15,Historical Observations,,,,,,,,-8.42,116.47
264010,Batur,16195,Confirmed Eruption,SW flank (near Batur III),1,,,1965,,8,,18,,Historical Observations,,1965,,12,,16,15,-8.242,115.375
257010,Suretamatai,15215,Confirmed Eruption,NW flank,2,,,1965,,8,,9,,Historical Observations,,1966,,7,,2,182,-13.8,167.47
266100,Lokon-Empung,16450,Confirmed Eruption,Tompaluan,1,,,1965,,7,,10,,Historical Observations,,1965,,7,,10,,1.358,124.792
262000,Krakatau,15608,Confirmed Eruption,Anak Krakatau,1,?,?,1965,,7,,2,182,Historical Observations,,,,,,,,-6.102,105.423
251020,Manam,14926,Confirmed Eruption,South Crater,2,,,1965,,7,,2,182,Historical Observations,,1966,,1,>,25,,-4.08,145.037
