"","Volcano.Name","Longitude","Latitude","Elevation..m.","wind_north","wind_south","wind_east","wind_west","grid_north","grid_south","grid_east","grid_west"
"461","Parker",124.892,6.113,1824,6.36,5.86,125.14,124.64,11.113,1.113,129.892,119.892
"465","Makaturing",124.317,7.644,1818,7.89,7.39,124.57,124.07,12.644,2.644,129.317,119.317
"466","Ragang",124.507,7.691,2790,7.94,7.44,124.76,124.26,12.691,2.691,129.507,119.507
"470","Camiguin",124.673,9.203,1552,9.45,8.95,124.92,124.42,14.203,4.203,129.673,119.673
"472","Kanlaon",123.132,10.412,2435,10.66,10.16,123.38,122.88,15.412,5.412,128.132,118.132
"478","Bulusan",124.056,12.769,1535,13.02,12.52,124.31,123.81,17.769,7.769,129.056,119.056
"480","Mayon",123.685,13.257,2462,13.51,13.01,123.94,123.44,18.257,8.257,128.685,118.685
"487","Taal",120.993,14.002,311,14.25,13.75,121.24,120.74,19.002,9.002,125.993,115.993
"491","Pinatubo",120.35,15.13,1486,15.38,14.88,120.6,120.1,20.13,10.13,125.35,115.35
"495","Cagua",122.123,18.222,1133,18.47,17.97,122.37,121.87,23.222,13.222,127.123,117.123
"496","Camiguin de Babuyanes",121.86,18.83,712,19.08,18.58,122.11,121.61,23.83,13.83,126.86,116.86
"497","Didicas",122.202,19.077,228,19.33,18.83,122.45,121.95,24.077,14.077,127.202,117.202
"498","Babuyan Claro",121.95,19.524,1064,19.77,19.27,122.2,121.7,24.524,14.524,126.95,116.95
"510","Kueishantao",121.953,24.841,361,25.09,24.59,122.2,121.7,29.841,19.841,126.953,116.953
"595","Kita-Ioto",141.284,25.424,792,25.67,25.17,141.53,141.03,30.424,20.424,146.284,136.284
"606","Farallon de Pajaros",144.893,20.546,337,20.8,20.3,145.14,144.64,25.546,15.546,149.893,139.893
"610","Asuncion",145.406,19.671,857,19.92,19.42,145.66,145.16,24.671,14.671,150.406,140.406
"611","Agrigan",145.67,18.77,965,19.02,18.52,145.92,145.42,23.77,13.77,150.67,140.67
"612","Pagan",145.8,18.13,570,18.38,17.88,146.05,145.55,23.13,13.13,150.8,140.8
"613","Alamagan",145.83,17.6,744,17.85,17.35,146.08,145.58,22.6,12.6,150.83,140.83
"614","Guguan",145.845,17.307,287,17.56,17.06,146.1,145.6,22.307,12.307,150.845,140.845
"618","Anatahan",145.67,16.35,790,16.6,16.1,145.92,145.42,21.35,11.35,150.67,140.67
