"","run_name","out_name","grid_pth","wind_pth","volcano_name","vent_easting","vent_northing","vent_zone","vent_ht","min_ht","max_ht","min_mass","max_mass","min_dur","max_dur","constrain","nb_wind","wind_start","wind_per_day","seasonality","wind_start_rainy","wind_start_dry","constrain_eruption_date","eruption_date","constrain_wind_dir","min_wind_dir","max_wind_dir","trop_height","max_phi","min_phi","min_med_phi","max_med_phi","min_std_phi","max_std_phi","min_agg","max_agg","max_diam","long_lasting","ht_sample","mass_sample","nb_runs","write_conf","write_gs","write_fig_sep","write_fig_all","write_log_sep","write_log_all","par","par_cpu","eddy_const","diff_coeff","ft_thresh","lithic_dens","pumice_dens","col_step","part_step","alpha","beta"
"33","257060VEI2","257060VEI2OUT",NA,NA,"Epi","219500.71501151","8153995.66917451","-59","833","1833","5833","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"34","284140VEI2","284140VEI2OUT",NA,NA,"Farallon de Pajaros","280329.111163144","2273321.54979168","55","337","1337","5337","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"35","263140VEI2","263140VEI2OUT",NA,NA,"Galunggung","175089.905788282","9197560.94441877","-49","2168","3168","7168","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"36","268060VEI2","268060VEI2OUT",NA,NA,"Gamalama","314162.322522207","88461.9165937602","52","1715","2715","6715","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"37","268040VEI2","268040VEI2OUT",NA,NA,"Gamkonora","336454.887247766","152582.294434577","52","1635","2635","6635","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"38","257020VEI2","257020VEI2OUT",NA,NA,"Gaua","769734.465087928","8420961.49989884","-58","797","1797","5797","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"39","263060VEI2","263060VEI2OUT",NA,NA,"Gede-Pangrango","717182.47421262","9251237.55865826","-48","3008","4008","8008","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"40","284190VEI2","284190VEI2OUT",NA,NA,"Guguan","377253.093670328","1913885.51345202","55","287","1287","5287","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"41","263130VEI2","263130VEI2OUT",NA,NA,"Guntur","813709.804017941","9209475.55768299","-48","2249","3249","7249","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"42","265030VEI2","265030VEI2OUT",NA,NA,"Gunungapi Wetar","240175.916811542","9265209.92858949","-52","282","1282","5282","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
