"","volcano_name","volcano_number","min_easting","max_easting","min_northing","max_northing","NW_zone","NE_zone","SW_zone","SE_zone","vent_zone","resolution","mean_elevation","grid_name","zone_crossing","equator_crossing"
"111","Semeru","263300","816852.153606327","602450.042459306","8549087.41942959","9656424.53963435","-48","-50","-48","-50","-49","10000","31","263300_grid","1","0"
"112","Serua","265070","720152.115108071","501891.181788145","8748761.89627615","9854984.31858698","-51","-53","-51","-53","-52","10000","31","265070_grid","1","0"
"113","SeulawahAgam","261020","239328.870165926","684514.210364837","49538.3495672271","1155896.22941339","46","47","46","47","46","10000","63","261020_grid","1","0"
"114","Simbo","255050","335564.71009132","780043.583468191","8529191.62770211","9636009.09376437","-56","-57","-56","-57","-57","10000","14","255050_grid","1","0"
"115","Sinabung","261080","543180.322924847","322851.420576532","9797649.15809866","903445.024342179","46","48","-46","-48","47","10000","103","261080_grid","1","1"
"116","Singkut","261070","555176.593057679","334894.600776017","9806284.05486055","912024.692375408","46","48","-46","-48","47","10000","103","261070_grid","1","1"
"117","Sirung","264270","730548.912649151","514438.833535787","8505684.03722302","9612254.73438942","-50","-52","-50","-52","-51","10000","33","264270_grid","1","0"
"118","Slamet","263180","411934.425983233","196229.067858302","8645115.94372449","9752166.55461215","-48","-50","-48","-50","-49","10000","40","263180_grid","1","0"
"119","Soputan","266030","802953.234182416","581824.412670478","9569759.97200921","676356.191965377","50","52","-50","-52","51","10000","78","266030_grid","1","1"
"120","Sorikmarapi","261120","670435.402850105","448952.415971443","9522991.76857432","628721.347521255","46","48","-46","-48","47","10000","121","261120_grid","1","1"
"121","StAndrewStrait","250010","648998.426710207","428264.981198628","9184017.60277782","289671.580052439","54","56","-54","-56","-55","10000","154","250010_grid","1","1"
"122","Sumbing","261180","247372.635458954","692117.832106885","9179842.60200703","286058.730342661","47","48","-47","-48","-47","10000","74","261180_grid","1","1"
"123","Sumbing","263220","507609.182067022","290167.750663882","8630225.66877353","9736494.64584881","-48","-50","-48","-50","-49","10000","37","263220_grid","1","0"
"124","Sundoro","263210","499110.512647243","281614.719894043","8639457.12558622","9745779.52068858","-48","-50","-48","-50","-49","10000","37","263210_grid","1","0"
"125","Suoh","261270","529567.992016471","310519.338597932","8866437.27732355","9972367.17783233","-47","-49","-47","-49","-48","10000","61","261270_grid","1","0"
"126","Suretamatai","257010","221679.752931377","661678.349528406","7919403.62274622","9026941.79581515","-58","-59","-58","-59","-58","10000","2","257010_grid","1","0"
"127","Taal","273070","389311.766761692","829114.094826997","995225.500584517","2103730.37934145","50","51","50","51","51","10000","47","273070_grid","1","0"
